東京都	13216221	6038	2189
北海道	78421	5460668	70
神奈川県	9072133	3755	2416
岩手県	15279	1303351	85
大阪府	4661	8863324	1901
福島県	13783	1962333	142
愛知県	7425952	1438	5165
長野県	13562	2133014	157
埼玉県	1898	7208122	3798
新潟県	12584	2347092	187
千葉県	6195576	1201	5157
秋田県	11636	1063168	91
兵庫県	5571096	664	8396
岐阜県	10621	2064940	194
福岡県	1021	5085368	4979
青森県	9645	1349899	140
山形県	9323	1151863	124
沖縄県	619	1410138	2277
静岡県	3736600	7781	480
鹿児島県	9189	1689397	184
京都府	570	2627313	4613
茨城県	2945824	483	6096
広島県	8480	2849104	336
香川県	527	989159	1877
宮崎県	7736	1126132	146
奈良県	377	1389690	3691
宮城県	2325407	7286	319
熊本県	7405	1807201	244
滋賀県	353	1416546	4017
佐賀県	346	843505	2440
岡山県	7113	1936575	272
長崎県	343	1407904	4106
栃木県	1993386	6408	311
高知県	7105	106	752042
群馬県	1992432	6362	313
島根県	6708	105	707074
三重県	318	1838611	5777
大分県	6340	1185830	187
山口県	6114	1431294	234
石川県	278	1162953	4186
富山県	255	4248	1082763
愛媛県	5679	249	1414996
和歌山県	209	4726	987483
福井県	191	4190	799127
山梨県	4465	191	851681
徳島県	187	4147	775871
鳥取県	166	3507	581870
